62;'Городской округ Пелым';3706;3101;'МФЦ';'624582, Свердловская область, пгт. Пелым, ул. Чапаева, д. 12';'61.021301, 61.993043';2;31.12.2015;'муниципальная';'безвозмездное пользование';57,2;'Действующий'
63;'Городской округ Первоуральск';141368;122183;'МФЦ';'623119, Свердловская область, г. Первоуральск, ул. Береговая, д. 48';'56.919244, 59.950643';8;03.06.2013;'региональная';'безвозмездное пользование';125,7;'Действующий'
64;;;;'МФЦ';'623104, Свердловская область, г. Первоуральск, ул. Ватутина, д. 31';'56.900830, 59.941947';17;30.12.2014;'региональная';'оперативное управление';274,3;'Действующий'
65;;;6044;'ТОСП';'623150, Свердловская область, п. Билимбай, пл. Свободы, д. 2';'56.964686, 59.819821';3;02.12.2014;'муниципальная';'безвозмездное пользование';26,8;'Действующий'
66;;;5360;'ТОСП';'623131, Свердловская область, п. Новоуткинск, ул. Калинина, д. 32А';'56.989725, 59.557962';2;01.10.2015;'муниципальная';'безвозмездное пользование';49,9;'Действующий'
67;'Городской округ Ревда';62331;62326;'МФЦ';'623280, Свердловская область, г. Ревда, ул. Мира, д. 32';'56.797738, 59.912689';13;30.12.2013;'частная';'аренда';302,6;'Действующий'
68;'Городской округ Рефтинский';15636;15636;'МФЦ';'624285, Свердловская область, пгт. Рефтинский, ул. Гагарина, д. 8А';'57.095556, 61.685514';4;03.06.2013;'муниципальная';'безвозмездное пользование';134,3;'Действующий'
69;'Городской округ ЗАТО Свободный';9851;9851;'ТОСП';'624790, Свердловская обл., пгт. Свободный, ул. Карбышева, д. 7';'58.034978, 60.387197';2;30.09.2015;'муниципальная';'безвозмездное пользование';42,8;'Действующий'
70;'Городской округ Среднеуральск';24651;23583;'МФЦ';'624070, Свердловская область, г. Среднеуральск, ул. Уральская, д. 22';'56.989032, 60.465072';5;31.07.2015;'региональная';'оперативное управление';115,8;'Действующий'
71;'Городской округ Староуткинск';3081;3037;'ТОСП';'623036, Свердловская обл., пгт. Староуткинск, ул. Коммуны, д. 4';'57.228935, 59.332718';2;25.09.2015;'муниципальная';'безвозмездное пользование';24,16;'Действующий'
